movie,sentence,score
이니셰린의 밴시,다른 정보는 모르고 줄거리만 보고 어떻게 이 이야기를 그려나갈까 궁금했는데 어떻게 보면 단순한 내용인데 그걸 이렇게 풀어가다니 굿굿,7
플레인,"요즘 볼 영화가 없다고, 나는 애니메이션 안 보는데 하는 사람들이 극장에서 볼 영화로 선택하기 좋을 것 같습니다. 엄청나게 탄탄하거나 재미가 있진 않지만 이 정도면 그래도 재밌게 볼 수 있을 것 같아요",7
데시벨,"개떡같은 줄거리, 말도 안 되는 개연성, 그나마 고군분투하는 연기력",1
언어의 정원,"45분 정도의 러닝타임에 다 담아내지 못한 열린 결말, 행복이기를...",10
가구야공주 이야기,와 초반에 지루해서 폰만보다가 다케노코였나 이름생길때부터 꿀잼,10
플레인,킬링타임으로 볼만해요~,7
소울메이트,감성적이고 재밌었어요.,7
카운트,리얼 노잼.... 따분했어요 ㅠ,1
소울메이트,재밌고 볼만해요,8
더 퍼스트 슬램덩크,진짜 좋네요.OST도 여운이 오래 가네요,10
샤잠! 신들의 분노,굿즈 아니었으면 굳이 안봤을듯싶ㅇ므,7
앤트맨과 와스프: 퀀텀매니아,페이즈4의 영화보단 전체적으로 무난하긴 한데..,7
소울메이트,잔잔하게 흘러가는...여러 생각이 드네요.,5
어떤 영웅,불어나기 시작한 거짓의 여파는 막을 수가 없다,8
스즈메의 문단속,역시 영상미와 ost는 훌륭했다. 그렇지만 스토리는 너무 부족했다.&amp;lt;모노노케 히메&amp;gt;&amp;lt;하울의 움직이는 성&amp;gt;&amp;lt;센과 치히로의 행방불명&amp;gt; 무려 이 세개의 영화가 다 섞여있는 느낌이었다. 말하고자 하는 바가 너무 많아 이도저도 아니게 된 케이스.. 아이디어와 소재에 비해 전달려과 표현력이 너무 아쉽다. 다 섞여버려서 잡탕같지만 그래도 잡탕중엔 있어보이고 맛있는. 그런 느낌이다. 전반적으로 크게 나쁘지 않으니 기대 없이 킬링타임용으로 보면 좋을 것 겉다.,5
샤잠! 신들의 분노,개그코드가 잘 맞아서 많이 웃었음 ㅋㅋㅋ,7
샤잠! 신들의 분노,퀀텀매니아 보단 훨 좋네요!!,7
소울메이트,따뜻한 영화입니다. 리메이크 잘 됐네요,8
죽은 자들의 골짜기,킬링타임용 정도 되는 영화,6
스즈메의 문단속,재미있게 잘 봤습니다.,7
"귀멸의 칼날: 상현집결, 그리고 도공 마을로",재미있게 잘 봤습니다.,7
나이브스 아웃,모든 것이 완벽에 가깝지만 결말을 이끌어내는 스토리가 조금 아쉽다.,9
스윙걸즈,청소년 드라마는 이렇게 만들어야 한다,10
소울메이트,여자감성에 충실하다보니 관객스펙트럼이 좁은 영화,6
창피해,동성애 필터링. 요즘 퀴어공장이라도 생긴건가,1
마녀(魔女) Part2. The Other One,그냥 재미이있음.내스타일이야~ ,10
스즈메의 문단속,"감동 그 자체, &amp;#34;박수칠때 떠나라&amp;#34;일까요? 솔직히 4편까지는 더 해주시면 좋을듯 해요 ㅠㅠ ",10
자백,오와... 반전 ,8
티파니에서 아침을,60년대 뉴욕의 모습이 좋은 참고가 된다 동시대 한국은 가난 그자체였으니 더욱 선망했을듯 영화통째로 티파니 보석상PPL 하는 그들의 자본력 기획력 놀랍다 수많은 아시아국가들이 결혼예물로 옥반지금반지보다 다이아를 필수로 만든 홍보물이 아닐지,6
다음 소희,이해가 안되네요 요즘 누가 저런데서  일합니까  돈도 적은데 재미는 있네요 ,10
스즈메의 문단속,배경이 너무 예뻤습니다스토리는 좀 보다만 느낌이지만배경과 연출을 보다면 정말 좋은 작품인것 같습니다,10
똑똑똑,아쉬움이 많은 작품이네요,4
더 퍼스트 슬램덩크,원작보다 작화나내용이 업글됨완벽해요 ,10
스즈메의 문단속,역시 작화는 최고구요스토리는 2시간분량 애니로 괜찬타고보아요너의이름은 강력해서 뭔가끝에가 아쉽다?,8
더 퍼스트 슬램덩크,굉장히 재밌게 잘 봤습니다 ㅎㅎ,10
샤잠! 신들의 분노,"샤잠! 관람객의 분노!!Shazam! Fury of the audience, 2023",1
어쩌면 우린 헤어졌는지 모른다,담담한영화 이동휘생활연기지린다,7
이니셰린의 밴시,다정함에 대해 생각하게 만드는 영화. 마지막까지도 강아지를 걱정해주는 두 주인공.,9
애프터썬,"(아직까지는) 올해 최고의 영화. 아버지의 연기도 엄청났지만, 레옹의 나탈리 포트만 이후로 이렇게 예쁘고 연기 잘하는 아역은 처음이다.",10
플레인,우리나라 영화 중에 &amp;#39;마지막 방위&amp;#39;라는 작품이 있음. 보는 내내 그 작품 생각이 났다.,6
쉬리,무식이형 군에 있을때 스토리네요 ㄷㄷ,10
콜 제인,그들의 연대에 응원을 보내며. 근데 결말이 좀 급작스러웠던 느낌.,8
늑대사냥,그냥 싹다 죽이는 영화 감동도 없고 스토리도 없고...,1
죽이러 갑니다,재밌게 봤음팔 잘리는거,10
스즈메의 문단속,여운이 많이 남네요 잘봤습니다,10
압꾸정,이런거 만들돈으로 불우이웃돕기를해라,1
벌새,와 수작이다 박시후 연기굿,10
영웅,여운이 많이 남는 영화입니다.,10
시애틀의 잠 못 이루는 밤,음악은 좋지만 얄팍한 장거리 로맨스. 아들양반.은근히 거슬려..,4
에브리씽 에브리웨어 올 앳 원스+,올해 최고의 영화! 최근 무슨 영화를 봐도 시큰둥하고 재미를 못느껴서 나이든 탓인가 했는데 .. 다른 영화들이 이만큼 못만든 거였음,10
플레인,러닝타임도 적당하고 저예산 느낌도 나긴 해도 꽤괜찮게 재밌었음,8
핀치,결말이 너무 슬프네요..꼭 한번 봐야 할 영화.,10
플레인,2023.3.16,5
"안녕, 나의 소울메이트",어떤 사랑은 우정 같고 어떤 우정은 사랑 같다,10
데시벨,배우들 연기가 인상깊어요,10
스즈메의 문단속,처음엔 작화 예뻐서 감탄하다가 뒤로 갈수록 뜬금없는 우연의 과도한 반복+ 설명 부족+개연성 없음으오 그냥 어이없게 봤음..,6
아이 엠 어 히어로,별 하나도 아낍다  쪽바리것은  안 본다,1
소울메이트,우정은 함께 믿어나가는것!! 두배우의 연기 최고 였어요,9
바람,내 인생에서 처음으로..,10
샤잠! 신들의 분노,전편 안 보고 봤는데 재밌었습니다,6
더 킹: 헨리 5세,티모시샬라메 덕분에 한 나라의 왕이 짊어진 무게에대해 생각해보게된다. ,10
스즈메의 문단속,알파메일얼빠 주인공개연성 흠...작화 연출 ost는 5점스토리 개연성  2점 끝나고도 뭐지? 싶더라,6
플레인,악당에게 시원하게 앞바퀴를!!,6
쥬만지,1996년도로 돌아가고 싶다..,10
아임 히어로 더 파이널,콘서트의 감동이 그대로 전해지는 행복한 시간이었어요 ,10
스즈메의 문단속,진짜 너의 이름은 보다 재미있었고 다들 개연성이 아쉽다고 하는데 나는 볼 만한 정도라고 생각함영상미나 OST나오는 타이밍이 너무 완벽했습니다,8
닥터 스트레인지: 대혼돈의 멀티버스,22년도 마블치곤 괜찮음 근데 솔직히 꽤 재밌는데,10
소울메이트,친구랑  또 보고 싶어요 추천합니다  영상좋고 연출좋아요,10
스즈메의 문단속,와 너의 이름은보다 좋다,10
청춘만화,너무 안타까운 영화 마지막 권상우를  장애인으로 만들어버리는 바람에 !! 사람들한테 외면당한 !! 스토리는 좋았는데 너무 극정으로 만들어버림 만약 권상우 다리 잃은게 아니라!! 재활하면서 힘들게 이겨내는 스토리였다면 아마 흥행했을듯!! 갑자기 차사고로 다리를 날려버리는 ...ㅋㅋ어이없는 연출만 없었더라면... 뭇네 아쉬운 영화임!!,8
스즈메의 문단속,개연성은 다소 떨어지지만 영상미 연출 음악이 너무 좋았어요.,10
에브리씽 에브리웨어 올 앳 원스+,"멀티버스 세계관, 감동 전부 다 마음에들었고 한 30분-1시간까지는 이게뭐람 하면서 보다가 중간부터 점점... 마지막에 제대로 감동을 준다.",10
고스트 맘마,최진실 정말 아까운 배우,10
소울메이트,잘 만든 감성영화입니다. 원작을 모르는 입장인데 호입니다.,8
유랑의 달,일반적인 사랑이 아닌 &amp;#34;나&amp;#34;와 &amp;#34;그&amp;#34;이기에 가능한 사랑근데 남주 장애가 뭐였는지 안보임..곱추인가?,6
압꾸정,영화관에서 봤으면 호구 넷플릭스로 킬링타임용으로 봤다면 시간낭비,3
악마를 보았다,"이 영화를 일주일전 티비채널을 돌리다 우연히 보게 되었다. 욕설은 삐-처리, 몇몇 잔인한 장면 삭제된 채로 봤다. 잔인한 영화를 좋아함에도 일주일내내 이 영화가 계속 생각이 나 검색까지 하게 됐다. 실화바탕, 잔인, 공포를 다룬 영화들을 많이 봐왔지만 이 영화는 치가 떨릴정도로 역겨울정도로 연속되는 충격속에서 보았다.  편집본에다가 중간부터 본 아쉬움에 첨부터 온전하게 다시 보고 싶은 마음은 있지만, 따로 제대로 볼 자신이 없다. 그래서 난 이렇게 본걸로 만족해야겠다.배우 최민식씨의 연기력이 소름돋을 정도로 뛰어나다는걸 깨닫게 되었다.. ",9
원피스 필름 레드,"스토리도 좋고, 전투씬도 좋던데 재미있게 봤어요~ 역서 원피스는 최고 입니다~!",10
소울메이트,재미있어요,8
블랙폰,침착한 소년의 연기가 좋음,10
소울메이트,재미있어요,8
소울메이트,재미있어요,8
소울메이트,재미있어요,8
소울메이트,재미있어요,8
멍뭉이,편안하게 볼 수 있는 그런 영화. 어쩌면 잔잔하다고 느껴서 재미가 없다고 생각할 수도 있겠지만 이런 영화도 있어야 한다고 생각함,6
서치 2,똑똑똑 보고서 이거보면 진짜 엄청재밌음 몰입감최고,10
파괴자들,감동지수는 아주 높지는 않지만 번역된 제목만 봐서는 단순한 폭력물인 것 같아 안 봤는데 영화 전반적으로 올리버스톤감독의 폭력에 대비시키는 평화로움이 감성이 잘 표현된 영화이고 시종일관 지루하지 않게 감상할 수 있어서 너무 좋았다. 배우들의 연기력 특히 내가 좋아하는 블레이크라이블리와 베니코델토로가 열연해 주어서 너무 감사하게 잘 봄. 블레이크 너무 우아하게 이쁨 ㅋㅋ 잔잔히 흐르는 음악도 올리버스톤 영화의 시그니처처럼 너무 좋고 특히 내가 살았던 샌디에이고와 남부캘리포니아가 배경으라 너무 반가웠다. 라구나비치 츌라비스타 내셔날시티 라메사 산타페 산타바바라 멕시코의 티후아나 까지.. 개인적으로 추억소환 된 소중한 시간. ,10
압꾸정,"대체 왜 만든건지??? 다 보고나면 내가 뭘 본건지 후회하게 만드는...주제도 없고, 장르도 없고, 이도 더도 아닌 이상한 영화...",4
미이라,우리의 추억과 감동은 늘 고전 속에 있다.,10
카시오페아,신파로 깊게 빠지지않고 담백함.,10
"오늘 밤, 세계에서 이 사랑이 사라진다 해도",좋았습니다. 나에게 무의미 했었던 하루하루가 누군가에게는 뜻깊고 소중한 하루일테니 저도 하루하루 열심히 살아야겠습니다.,10
플레인,이런 영화에 기대할 수 있는 최선.,7
샤잠! 신들의 분노,무색무취. 배우는 재미있는데 뭔가 아쉽다.,6
더 퍼스트 슬램덩크,애니가 어케 이럴수 있지…ㅜ대 충격,10
스즈메의 문단속,어느 방면으로든 결핍이 있는 사람들에게 위로와 공감이 될 영화. 관람객 본인의 경험이 마지막 퍼즐 역할이 될 영화. ,10
스즈메의 문단속,어느 방면으로든 결핍이 있는 사람들에게 위로와 공감이 될 영화. 관람객 본인의 경험이 마지막 퍼즐 역할이 될 영화. ,10
교섭,보통 인질극 협상 영화는 인질이 구출되길 바라는 그런 긴장감이 있어야 되느데  인질이 죽길 바라는 영화는 처음임 ,3
똑똑똑,나름 잘 보긴 했으나 취향은 아니라 그럭저럭...,5
서치 2,어떤 영화인지 검색하다가 스포 당하지말고 영화관에서 직접 보길 추천!! 개인적으로 1보다는 2가 좋았음. 어린나이의 주인공이라 인터넷을 확실히 속도감있게 잘 쓰고 러닝타임 내내 몰입감과 긴장감을 놓치지 않게 잘 만든 영화라고 생각 함. 중반의 연출에서는 소름이 돋았을 정도.,10
비스트,언니라는얘 진짜 빡친다 ,1
샤잠! 신들의 분노,"너무 자버렸네요.. 잠 잔 저도 잘못이지만, 저를 못일어나게 하는 이 영화는 참..",5
소울메이트,무엇이 거짓일까? 근데 어떤 것이 진실이든 마음이 먹먹해지는 건 똑같다..,7
스즈메의 문단속,러닝타임을 줄였으면 좀 낫지 않았을까..,6
이니셰린의 밴시,무슨얘기인지를모르겠다..,6
아바타: 물의 길,정말 영상미하나는 몇번을 재관람해도 안질리는 명작...!이게 진짜 CG가 맞는것인지 의심될정도로 너무 아름다고 황홀했어요빨리 아바타3가 나오길 바래봅니다!!,10
아바타: 물의 길,정말 영상미하나는 몇번을 재관람해도 안질리는 명작...!이게 진짜 CG가 맞는것인지 의심될정도로 너무 아름다고 황홀했어요빨리 아바타3가 나오길 바래봅니다!!,10
소울메이트,너무 감동적이고 아름다운 사랑이야기,9
플레인,생각하는대로 이야기가 진행된다.,7
앙: 단팥 인생 이야기,"인생에는 2가지의 도라야끼가 존재한다. 하나는 도라에몽의 도라야끼고, 다른 하나는 이 영화의 도라야끼다. 도라에몽에서의 도라야끼는 동심, 우정, 추억, 즐거움이라는 맛이 나고, 이 영화에서의 도라야끼는 위로, 감동, 기쁨, 슬픔, 죄책감, 후회라는 맛이 난다. 그리고 우리는 이 2가지의 도라야끼를 인생, 삶이라고 부른다.",10
비스트,제일 불쌍한건 숯사자 아니냐 무리잃고 동족한테도 공격당하고,2
똑똑똑,조던 필 감독을 어설프게 따라 한듯한 샤말란..감 많이 떨어졌네,5
다음 소희,"어떤 사회가 좋은 사회인지 알려면, 가장 낮고 약한 사람들이 어떻게 사는지 보면 된다고 합니다. 우리 한국사회는 이에 어떤 대답을 할 수 있을까요? 영화 보면서 저도 반성하고, 사람을 함부로 대하면 안되겠다는 생각이 드네요.",10
타이타닉 2,2.23 뭐냐ㅡㅡ 0.01내려라,1
스즈메의 문단속,안봐도 비디오 주말에 보러갈게ㅠㅠ,10
샤잠! 신들의 분노,진짜 재미없어요 유치하고 무슨 8-90년대 영화 보는줄.. 너무 유치뽕짝 ㅠ 무슨 파워레인저도아니고 돈아까워요 ㅎㅎ,2
스즈메의 문단속,사건의 개연성이 아쉽다. 고전소설마냥 사건의 시작도 고양이 사건의 끝도 고양이의 변덕 고양이 한테상당히 열받는 영화,5
써티 데이즈 오브 나이트,이거왜케 평점이 낮지..개무서움 ㅜㅜ,10
소울메이트,배우들의 연기가 다들 너무 좋았습니다. 추천합니다,10
플레인,적당히 볼만한 영화였다,7
더 퍼스트 슬램덩크,몇번을 다시 봐도 너무 재밌네요. 추천합니다,10
플레인,기대 이상으로 재밌게 봤습니다~,9
소울메이트,"포스터만 보고 그쪽 이야긴줄 알았는데, 생각보다 괜찮았고, 상업영화와 독립영화 중간쯤에서 왔다갔다 하는 느낌?",7
유어 아이즈 텔,왜 이제서야 봤나요…….,10
다음 소희,취업률 통계에 목매는 사람이 생각나네요...,10
압꾸정,와 영화보고 시간아까운적은 처음,2
스즈메의 문단속,볼만해요,7
타클라마칸,세 사람의 운명의 엇갈림 속서로를 알지도 못하는데죽고 죽여야하는 운명영화가 끝나고 나서가슴이 먹먹했다ㆍ,9
체리 향기,영상미와 연출이 압권이다. 하지만.. 설득력은 없달까  바게리의 말보단 바디가 신학생에게 하던 말이 더 와닿는다. 바게리를 찾아갔을 때 바게리의 단호한 모습에 바디가 쉽게 흔들렸다고 생각한다. ,4
블랙 팬서: 와칸다 포에버,머냐? 너무 재미없어서 10분씩 끊어서 봤다. 아프리카 부족영화 보는거같다. 출연료 아끼려고한건가? 근데 네이버 영화 없어지면 어디에 평점 적냐,1
치어 댄스,"나는 눈의꽃 일본영화 여주였던, 나카죠 아야미가 더 좋던데 ㅋㅋ 다들 히로세만 얘기하네 ㅋㅋ",7
데시벨,시간이 어떻게 가는줄 모르고 봄 . 초반에 폭탄으로 적당히 긴장감주다가 (가끔나오는 유머코드도 적절) 먹먹해지는 스토리로 감동까지 . 눈물이 얼마나 나던지..  세상에는 한마디로 결정 지을수 없는 일들이 얼마나 많던가..어릴때는 몰랐던 뜻대로 되지 않은 세상.단 옥의 티는 김래원은 아빠가 아니라 삼촌같음 ㅋ 딸 나이를 더 어리게 하던지. 김래원와이프는 와이프 아니고 누..나.. 그럼에고 불구하고 감동인 영화. 데시벨이 이런 영화인줄은 몰랐네요. ,10
블랙 아담,고대 이집트어 쓰던 놈이 5천년만에 깨어나자마자 바로 영어 쓰는 거 보고 껐음.,1
다음 소희,이러한 현실에 너무 화가나네요..ㅠㅠ,10
소울메이트,잘봤습니다 너무 좋았어요,10
또 하나의 약속,약자의 편에 서서 사회적인 문제를 다루는 이런 영화를 칭찬합니다.,10
스즈메의 문단속,눈이 아름다워지는 작화... 개연성은 조금 아쉬웠지만 곱씹으면 곱씹을수록 여운이 남는 영화.다시 보러가고 싶음.,8
마담 싸이코,몰입감이 엄청나다고 생각될 정도는 아님 연기는 좋으나 스토리가 좀 억지스러움..,6
더 시크릿 하우스,슬픈 공포 스릴러란 말이 너무 잘 어울리는 영화 여주 너무 이쁨 아이덴티티23에서도 너무 이뻤는데 ,8
소울메이트,여주인공의 캐미도 좋고 영상미도 좋았습니다!,10
스즈메의 문단속,다이진 너무 슬프다ㅠㅠ 한 때 토지시였던 인간 아이였을까...라는 생각이 드는 순수한 존재 같았음.,10
우리들,성장 영화는 마흔이 넘은 지금도 나를 뒤돌아 보게 한다. 수작이다.,10
매복,앞으로 영화를 만들때 흑인들은 출연수 제한을 두어야 함 죄다 깜둥이들만 나오니 누가 누군지 모르겠다 그리고 아파치하고 지상병력하고 합동작전을 펼쳤으면 적군의 주의력이 분산되어 진작에 이겼다 그런 최신식 장비를 가지고도 이렇게 헤매니 보는 내가 다 답답하다,6
B컷,킬링타임용으론 나름의 재미가 있음 어디까지나 킬링타임용으로만이다. 그 이상은 기대하지마시길.. B급 상업영화 수준으론 딱임,8
제인 도,온전하게 공포심에 포커싱을 둔 호러 영화라기보다  미스터리 / 추리 / 호러가 결합된 영화. 게다가 점프 스케어나 크게 무서운 장면이 많지 않아 공포영화를 잘 보지 못하는 사람도 상대적으로 쉽게 접할 수 있지 않을까 한다. 일반인들에게 생소한 시체 검시관의 입장에서 제인도의 정체에 대해 풀어나가며 관객의 궁금증을 유발하여 몰입감이 높은 편. 제인도의 내막과 관련된 스토리를 조금만 더 깊이 있게 구성하고 이를 더 많이 풀어나갔다면 훨씬 좋은 영화가 되지 않았을까 싶다.,8
체인질링,두번봐도 좋을 영화~^^,8
압꾸정,어려워요 재미를 찾기가,1
스즈메의 문단속,"세련된 작화, 더욱 유려해진 빛의 표현만큼이나 섬세하고 균형잡힌 스토리가 내 감성을 몇번이고 들었다 놓았다.",10
"귀멸의 칼날: 상현집결, 그리고 도공 마을로",액션씬 정말 입이 안 다물어 질 정도로 좋았고 너무 재밌게 봤습니다.3기 1화도 너무 재밌게 봤구요! 영화관에서 보는거랑 컴퓨터로 보는거랑 차이가 정말 크네요 영화관에서 꼭 보시길,9
다음 소희,"책임지지 않는 죽음, 대한민국이 답해야 할 때",8
스즈메의 문단속,깔끔하지 못한 스토리.그러나 재미는 있음.일본 애니메이션 각본 특유의 문제점이 많이 보이나 그냥 킬링타임용으로 보면 나쁘지 않음.다이진이 제일 이해가 안됨.1.다이진은 왜 스즈메를 좋아하나2.다이진의 목적은 무엇인가3.다이진은 소타를 왜 의자로 만들었나(왜 소타를 싫어하는가)4.다이진이 갑자기 자기가 요석을 하겠다고 말한 이유는 무엇인가5.사다이진이 나타났을때 스즈메 이모는 왜 기절했는가6.스즈메는 왜 스스로 요석이 되겠다고 말했나(사랑때문에???-&amp;gt;개연성 부족이라 생각)결국 다이진은 왜 있는지 모르겠고 중간에 스즈메가 다이진을 좋아하게된 것도 이해가 안됨.악역이면 처음부터 끝까지 악역 포지션을 유지했어야 한다고 생각.,6
에브리씽 에브리웨어 올 앳 원스+,돌맹이 빼곤... 정신없고 폭력적이기도... 소란한 영화라 감동이 그닥요 ㅡ.ㅡ,4
언어의 정원,키야~ 신카이 마코토 특유의 색감이랑 작화는 안볼수 없어요. 다만 좀 변태 기질이 있음.,10
헤이트풀8,영화를 보면 볼수록 감독이 얼마나 많은 영향을 미치는지 느끼게 해준다. 정말 잘 만든다.,10
더 퍼스트 슬램덩크,원작팬이라면 꼭 봐야됨,10
악질경찰,와 진짜 세월호 중간에 끼워 넣으면서 그냥 퀄리티 폭망이네. 나머지 연기자들의 헌신이 아깝다. ,8
특송,음 시간가는줄 모르고 보긴했음. 극중 배역들을알뜰 살뜰하게 다 잘쓴것같음. ,10
원더 우먼 1984,도저히 같은 감독의 작품이라고 생각할수가 없다... DC 진짜 너무하네요...,2
지금 만나러 갑니다,감동이있는슬픈영화ㅜ,10
이니셰린의 밴시,기대가... 너무 컸나 보다...,6
데어 윌 비 블러드,인간 탐욕의 민낯...다시 봐도 명작,10
소울메이트,지루하지 않게 너무 잘봤네요~,9
소울메이트,배우분 연기로 커버 되네요~,9
소울메이트,별기대 안했는데 재밌네요!,8
젠틀맨,무난합니다 ㅎㅎ,6
스위치,가볍게 보기 좋아요 ㅎㅎ,8
극장판 헬로카봇: 수상한 마술단의 비밀,아이들이 좋아해요 ㅎㅎ,10
스즈메의 문단속,"역시 영상미랑 연출, ost가 너무 좋았어요영상미가 좋아서 보는 내내 눈이 즐거웠지만,개연성이 조금 떨어지고 후반부엔 내용이 난잡해지는 느낌을 받았어요아쉬웠지만 작화가 너무 좋아서 재밌게 봤습니당!!",8
어떤 영웅,내가 아는 것이 전부가 아닐 수 있다,8
에브리씽 에브리웨어 올 앳 원스+,우주비행사들이 우주에서 매우 작은 지구를 바라보면 삶에 초연해진다고 한다. 우리의 존재와 삶이 잘났든 못났든 어떻든 따져보면 모두 하찮고 부질없고 허망하지만... 상대방을 인정해주고 사랑으로 보듬고 함께한다면 의미있다. ,8
스즈메의 문단속,약간 결말이 아쉽고 남주가 의자로 있던 시간이 많긴했지만 최고였다,10
데시벨,많은분들이 개연성 아쉽다 하는게 이해가 된다. 좀만 더 밑배경이 튼튼했으면 좋은 연기력에 대단한 영화가 나오지 않았을까 싶다.,8
플레인,뻔하고 뻔한 스토리와 클리셰 범벅의 영화지만 아는 맛이 무서운 팝콘 무비면서 흔한 제라드 버틀러식 B급 영화.. 악당들이 뭔가 허술한 느낌도 받았고 군데군데 허술한 부분도 많이 보였지만 나름의 긴장감도 있었다. 마이크 콜터 어디서 많이 봤다 했는데 넷플 영화 카터에 나온 사람이었구나 어쩐지 낯이 익더라니.. 스피드 쿠폰으로 만원 할인하고 4천원으로 즐기기엔 충분하지만 15천원 주고 본다면 글쎄 할 영화,7
스즈메의 문단속,스즈메의 문단속 재밌어용,10
