movie,sentence,score
소울메이트,내가 안다고 생각한것이 전부가 아니였고 서로를 위한 거짓말이 아름답게만 남을수는 없다는 사실이 슬프면서도 감명깊다. 뻔하지 않은 연출과 두 배우의 연기가 스토리를 지루하지 않게 러닝타임동안 집중도있게 끌고 가준다. ,10
메간,?스포주의?..어린친구가 사망하고 옆집 아주머니가 사망했는데 엄마역 배우의 감정기복이 너무나 없는  모습임:; 충격받는 모습이 나올법 한데…의도된 연출인 것인가..딸이 말 안들어서 속썩일 때만 화나는 듯한 모습… 암튼 뭔가 좀…어색하고 아쉬운 부분많음…,4
더 브릿지,제니퍼 로렌스 예뻐요-^^,10
살수,아니 사극인데  아랍사람을 주인공으로 쓰면 어또카니 ㅋㅋㅋ,1
스즈메의 문단속,진짜 존잼  갠적으로 너의 이름은 보다 재밌었음꼭 보세요~,10
스즈메의 문단속,센과치히로는 개명작임이거는 뭐 그냥 지진에서모티브얻긴햇는데딱히 수준낮은 연출임,6
파이프라인,아후 정신사나워 좋은 감독 좋은배우 아까워,1
스위치,결말 예상은 되긴하지만 훈훈한 마무리에 재미도 있었음..연인끼리 봐도 좋고 가족들과 봐도 좋을만한 영화임.,10
소울메이트,배우들의 연기와 스토리가 좋았습니다,8
오아시스,이 둘의 섹스가 불편하세요? 그럼 자세를 고쳐 앉아 ㅅㅂ럼들아 ,9
다음 소희,극장에서 못본게 후회스럽네요 지금 이라도 많이들 보셨으면 좋겠어요 ,10
니 부모 얼굴이 보고 싶다,연기자들 연기력 좋은건 당연한건데 뭔가 선생이 중심이 되서 해결해 나갈줄 알았는데 갑자기 설경구가 중심이됨. 가해당하는 장면만 너무 자극적으로 연출되고 법정에서 씬은 너무 허술했음. 그냥 기분만 안좋아지고 세상겁나서 애낳기 싫어지는 영화. ,6
레디 플레이어 원,언제나 꿈과 희망을 심어주는 스필버그.,10
스즈메의 문단속,일본에 지진이 많이 나는이유 ㅋㅋ,10
샤잠! 신들의 분노,솔직하게 cg티 너무 난다 ; 블랙아담보다 cg퀄 너무 떨어짐  ;   특히 옥상 배경 왜케 그래픽 느낌남; 일부러 저런건지;; 몰입감 방해될정도임 ,5
헬로우 고스트,퇴근후 혼술하면서 코미디 영화를 자주 봐서 이번에도 코미디 영화를 찾아봤습니다 저는 올레 티비를 보는데 코미디 영화쪽에 평점이 좋은게 있어서 그냥 생각없이 웃으면서 혼술하려고 시청했습니다 중간부까진 솔직히 빵터지는 것도 없고해서 흔히 말하는 알바댓글에 낚였구나 싶어서 술만 마시고 끄고 자야지 싶었는데 후반부에 미친듯한 반전에 오열을 하면서 끝까지 안봤으면 후회할번 했구나 느꼈습니다 제 인생영화중 하나에 포함될만큼 명작인데 제가 너무 몰라뵈서 죄송합니다,10
소울메이트,진짜 너무 슬펐다. 스토리도 너무 탄탄하고 무조건 추천하는 영화. 아무래도 여운이 좀 갈듯! 재관람 의향도 충분히 있다. 이건 정말 사랑이 아닐까,10
정직한 후보2,참나..시간 아깝네요,2
동감,"여진구 연기에 의리로 본 영화지루함과 뻔한 클리셰, 억지로 감동을 우겨넣고 그마저도 부자연스러운 여주인공 연기로 없는 감동을 깸",1
소울메이트,다른 것보다 영상미가 너무 좋았어요 영화의 모든 장면이 예뻐서 힐링.. 관람평에서 어떤 사랑은 우정같고 어떤 우정은 사랑같다라는 말을 봤는데 이 말에 공감할 수 있었던 영화였던 것 같아요,10
너의 췌장을 먹고 싶어,제목때문에 손이 가질 않아 이제야 봤는데 상당히 좋은 영화입니다 소설이 원작인것 같은데 읽어보고 싶네요,9
스즈메의 문단속,일본 대지진 트라우마를 표현한듯,7
데시벨,군인정신을 다하는 한국의 청춘들 고맙다ㅠ,10
가을 이야기,계절시리즈 중 가장 코믹함. 인간관계의 판타지와현실 사이의 간극이 잘 드러난 작품. 마지막 컷도 인상적이엇음.,10
압꾸정,"정경호와 마동석 케미가 더 살았다면 훨씬 흥미진진했을텐데, 그게 안되니 뭔가 이도저도 아닌 느낌.",4
인랑,씹뜨억하면 화낸다는게 사실인가요?,1
스페셜 시큐리티 : 라스트 미션,"단촐한 80년대 영화 느낌 , 스토리가 너무 단순함",6
#살아있다,이 좋은 소재를 가지고서 이정도 몰입감이라니.. 연출이 너무 아쉽다. 좀더 처절하게 버티게 하거나 좀더 조여오는 공포감을 조성할 수 있었을텐데...쩝 ㅠㅠ,6
스즈메의 문단속,신카이마코토 영화는 믿고본당 ㅜㅠ,10
소울메이트,스토리에 공감되지 않는 부분도 있었지만 제주도의 아름다운 풍경과 섬세한 미장센으로 만족합니다.,7
서양골동양과자점 앤티크,퀴어 영화 우웩!!!1,1
콜 제인,한남충이 한남소추라6.9센티미터라는(초속5센티미터의 속도로 대가리를 날려버리고 싶은)그년들 때문에 평점10점 만점을 절대 못주겠다.여성의 몸은 절대 자신의 것이 아니다.그 뱃속에서 나올 애새끼들의 것이다.바이든도 날리면 인간 자일라진 같은 년들(웃음),7
플레인,허술한 구석은 있지만 본인의 포지션에서 나름의 역할은 하는 영화.,7
다음 소희,신문이나 방송에서는 중소기업은 일할사람이 없다고 난리라고 한다 하지만 다음소희는 당신일수도 당신의 자식일수도 있다  ,8
메탈 로드,애들은 못보는 애들영화 ㅋㅋㅋ 메탈이 첨가된 스쿨오브락,8
서양골동양과자점 앤티크,마약 생각이 나요,1
건축학개론,"나도 1학년 풋내기 때 저렇게 불꽃같이 만나고 저렇게 허무하게 헤어졌다. 서로 좋아한 단 말도 제대로 못해보고. 그땐 그게 맞는 것인 줄 알았지. 사랑하는 사이가 아니면 가질 수 없는 수많은 시간들을 가졌는데도 그냥 그렇게 헤어졌어. 나보다 더  뒤 세대 이야기지만, 전람회 노래도 이미 직장인 때 나온 노래지만....내가 겪은 일과 너무나 닮은 이야기, 그래서 너무나 가슴 아픈 이야기. 그러나 그 어떤 것과도 바꿀 수 없는 소중한 이야기. 이 영화를 볼 때마다 가슴에 박힌 보석처럼 아프고 빛나네요 ",10
소울메이트,재주소년의 노래 &amp;lt;눈 오던 날&amp;gt;과 영화속 그림처럼 마음에 오래 여운이 남는 영화.,8
샤잠! 신들의 분노,"4DX SCREEN으로 관람했는데, 기대보다 재미있었습니다. CG도 괜찮았고 액션도 빠르고 통쾌했어요. 코믹하게 잘 봤어요~",8
스즈메의 문단속,"[ 지극히 개인적 평가입니다. ]이런거 진짜 안다는데 비추합니다. 원래부터 일본 애니매이션을 좋아하시는 분 아니면 그냥 다른거 보시는게 낫다고 봅니다. 클리셰 200프로, 신파200프로. 관객은 하나도 공감이 안되는데 주인공은 계속 제 감정에 벅차합니다. 그걸 보는 나는 갑갑합니다. 줄거리는 기대가 안되고, 뭔가 그림체로 감동을 주기에도 역부족입니다. 그렇다고 연기수준이 아주 높으냐? 그것도 저는 모르겠습니다. 상영시간 내내 몰입해서 보려고 노력해봤으나 그게 안돼서 더 고통스러웠습니다.   나오면서 화가난 영화.  비추합니다",1
스즈메의 문단속,명작이 계속 쏟아져 나오는 마코토!,8
올빼미,"초반은 지루, 중반은 졸잼, 후반은 쏘쏘",8
월스트리트: 분노의 복수,액션만 화려함,1
소울메이트,역시 김다미는 특별출연할때가 더욱 빛난다.마녀 파트2처럼...이태원 클라스,7
어떤 영웅,이란?여성의 신체 노출을 막겠답시고 여가수의 뮤직비디오나 음반 자켓에 나오는 여성의 사진까지 날리면(?)노스코리아의 동맹 그 나라가 아닌가?아니 날리면이 아니라 바이든인가?(웃음),8
샤잠! 신들의 분노,유쾌하게 재미남. 어른이 된 아이들이 주인공이다 보니 약간 유치한 부분이 있을수 있지만 그래도 재밌음요 ㅋ 나중에 블랙아담이 합류하게 되면 더 좋을거 같아요. ,10
소울메이트,무난한 리메이크,6
뜨거운 피,포스터나 이름이 경관의 피랑 매우흡사해요…,6
아임 히어로 더 파이널,"팬은 아니지만, 궁금해서 혼자 관람했는데요~ 노래 정말 좋더라구요. 스크린엑스로 관람했는데, 영상미도 정말 좋았구요! 함께 관람한 팬분들 상영관에 정말 많았습니다. 공연장 와있는줄 알았어요. 잘 봤어요!",10
테넷,이해하지말고 느끼라고? 뭘알아야 느끼지 너는 양자역학 설명하면 이해는 못해도 뭔가가 느껴짐? 놀란 영화 빠는애들 보면 꼭 현대미술전시회 백지그림 앞에서서 손으로 턱잡고 뭔가 심오하게 느끼는척 하는놈들같음,1
신의 한 수: 귀수편,졸작이구만 뭔 평점이 이리높냐? 알바쓰냐?,2
압꾸정,집에서 넷플로 아무 생각 없이 봤는데 나름 볼만하고만 악플 겁나 많네 ㅋㅋㅋ넷플에 며칠째 1위 하고 있는 이유도 있는거 아님? 잼없으면 순위에서 벌써 사라졌을텐데~,8
쏘우 2,반전에 치중하느라 조악함이 보이는,7
외계+인 1부,취향저격 2부 빨리보고싶당 잼있게봤고 편집도 좋고 나름 훌륭하다,10
소울메이트,"엄마,하은,미소,그림자, 모두 다정히 부를 수 있는 것들",8
소울메이트,김다미배우를 좋아해서 혼영하러갔는데 학생때와 어른일때의 연기변화가 정말 인상깊었습니다 현대사회를 잘반영한거같아 가슴이뭉클해졌구요 ,10
콜 제인,미국에서 임신중단이 불법이던 시절을 다룬 충격적인 실화인데 무겁고 진중한 주제에 비해 단순하게 접근한 연출이 아쉬움,6
연인,장쯔이가 이 영화에서 참 예뻤다. ,10
데시벨,어쩔수 없는 상황이었는데 이종석이 저러는 이유를 모르겠음. 공감안가는 스토리. 그래서 망한듯,5
그린랜드,결말이 조금 아쉽지만 심장 쫄깃!!,7
소울메이트,"영화를 보니 트위터서 회자된 말이 생각났다, 이성이라 사랑이라 믿었고, 동성이라 우정으로만 생각한 감정들",7
먹고 기도하고 사랑하라,나를 찾아 떠나는 여행. 각 나라를 함께 여행하는 기분. 사랑을 통해 더 큰 균형을 맞출 수 있다는걸 알려준 영화 ,9
스즈메의 문단속,피곤한 상태에서 봤는데도 진짜 졸리지가 않고 재밌었어요! 살짝 쫄리고(?) 긴장되는 느낌도 들었고ㅋㅋㅋ 그리고 확실히 영상미랑 노래가 좋네요ㅎㅎ (도입이랑 도쿄 장면 소름),10
먹고 기도하고 사랑하라,같이 건너가자!!! 이 한마디가 모두 설명함.,10
스즈메의 문단속,재밌게 잘봤습니다. 완전히 이해는 못했지만,10
스즈메의 문단속,"진짜 일본 애니영화가 안타깝다고 생각함 ..내가 너무 지나치게 일본 영화등 볼 때 마다 부정적 인식이 있는거 같아.? 왠지 지진이 많이 일어나는 원인에는? 다 이유가 있고 , 관광객 목적 식으로 제작 한 느낌이었고 ,? 여주가 호탕한 성격 보기보다 좋았지만 상황에 맞지 않는 행동들이 많았다고 생각함. . 그리고 일본인들은 착하다? 만나는 사람마다 친절 하다는거 강조하는 느낌이 어쩔수 없이 받음. (실제 일본가면 절대 남 쉽게 도와주지 않음.. 일본인들에 문화임 아는 분도 있을거임.. 실제 일본 3번 여행갈때도 그랬음) 그리고 아무런 대가 없이 건네는 다정이 아니라 호의를 베풀 만큼 일해야 한다는 것도 ...? 스토리가 결국 무엇을 의도했는지? 스토리 절반이 문 닫고 기차타고 차타고? 배경만? 감상했음?감상평 사운드 트랙 ☆☆☆☆ 스토리 ☆☆☆ 인물 ☆☆총평 : 별 3개 반",2
크리드 3,"가족과의 애틋한 모습에 울컥하고, 물러설 수 없는 두 파이터의 격돌이 백미! ",10
방법: 재차의,드라마부터 정주정하고가요 아무생각없이 재밌게 봤어요,9
소울메이트,서로의 존재를 ’부재‘라는 체로 걸렀을 때 남는 애틋함은 얼마나 직접적이고도 위태롭나. 우정과 사랑같은 단어로 딱 잘라지는 관계는 세상에 없다. 원작보다 부드럽고 푸릇함이 있다.,10
이니셰린의 밴시,친구 사이의 유치한 다툼 만큼이나 무의미한 상처를 입힌 아일랜드 내전을 뛰어난 알레고리로 풀어 낸다,10
다이 하드,오늘날의 슈퍼히어로 영화들보다도 훨씬 낫다,9
비스트,평점을 남길 가치도 없는 영화. 그럼에도 혹시 모를 이들의 시간을 아끼기 위해 나의 시간을 희생하면서까지 글을 남긴다… 보지마라 킬링 타임이 아니라 인생 낭비가 될것이다. 진짜 마지막에 선택한 최선의 방법이라는게 사자랑 1:1 맞다이 뜨는거라니 하… 어떻게 이딴 영화를 만들 생각을 했는지 영화사 제작사 스텝들 더 나아가서는 배우들까지 아무리 생각해도 이해가 안간다.,1
주(咒),"공포영화 특유의 쫄깃한 긴장감을 만들어주는 데는 성공적인 영화. 반면, 공포 요소가 인간/귀신/악신 뭐 하나에도 중심을 잡지 못하고 그냥 마구 섞어 만든 점이나 납득가지 않는 행동 등 떨어지는 개연성 및 시간대 전환 구성이 매끄럽지 못해 몰입도가 떨어진다는 점 등이 아쉬움",5
스즈메의 문단속,하늘과 물의 표현이 특히 마음에 들었다. 상당히 아름다운 시간이였다.,10
소울메이트,"원작대로 스토리 잘 풀어내서 좋았음 근데 제주풍경 때문인지, 2000년대를 추억하게 하는 연출 때문인지 몰라도 딴 영화같았음 여주 둘의 연기가 다 하지 않았나 싶다 시간이 흐르면서 미묘하게 달라진 눈빛들이 자꾸 울컥하게 함",10
살수,아쉽네요 좀더 잘다듬으면 잘될 영화 될것같은데..,6
아임 히어로 더 파이널,즐거운 공연이었어요,8
서치 2,주인공 연령이 낮아지니 전편보다 확실히 빠른 전개로 지루할 틈이 없었다. 최근 본 영화중에 제일 볼만했음.,8
더 퍼스트 슬램덩크,와.. 그냥 말에 필요 없고요.. 네.. 사랑해요,10
스즈메의 문단속,여태까지 본 영화중에 거의 가장 재미있었습니다. 영화가 끝나고도 여운이 계속 남아 한참 동안 멍때리고 있었어요 ㅎㅎ 정말 스토리가 너무 재미있고 신비로워요. ,10
천장지구,"유덕화 넘 멋있고, 마지막 달리고 달릴때 OST는 최고다. 몇번을봐도 첨부터 끝까지 한장면도 지루한곳이 없다. 유덕화 눈빛과 외모에 넋을 잃고 보게된다",10
소울메이트,슬픈 장면이 없는데 왜 내 눈에서 눈물..? 그냥 영화를 보면 눈물이 흐른다,10
스즈메의 문단속,정말 세세한 연출과 음악의 느낌들이 장면과 이야기들이 느낌있게 다가오고 폐허에서의 기억들이 들려오는 포인트도 감동이네요 ~,10
극장판 검정고무신 : 즐거운 나의 집,무슨 허락도 안받고 만드냐 이 쓰레기영화 줘도 안봄 이우영 작가님 심정은 생각 안하시나,1
대외비,흠~ 이렇게 끝나는게 현실이 이렇다고 보여줄라고 그런건가,6
대외비,뻔한스토리에 배우들의 연기때문에 그나마 살은영화,6
샤잠!,애들용 치고는 너무 성인 클럽 나오고 자극적이며 슈퍼 빌런이 자기 가족을 잔인하게 죽여대서 이것 저것도 아닌 애매한 영화 ,4
독전,명작은 아닌데 세 번 보게 됨 지루하지 않고 볼만함,8
스즈메의 문단속,초반에는 웃으면서 감상했으나 후반에는 감동적인 대사들과 연출로 인해 눈물을 참지 못하였습니다,9
두다다쿵: 후후섬의 비밀,아이들이 좋아해요^^,10
폴: 600미터,무뚝뚝한 내가 영화를 보다가 비명을 질렀기 때문에 10점을 안 줄 수 없습니다. ,10
TAR 타르,불필요한 대사는 없었고 모든 행위와 소품 연출 대사가 완벽하고 섬세하게 짜여진 영화이다. 한가지 행동에 얽힌 심리를 한 사람의 연기로 표현해내었다는 것이 정말 감동이다. 그 때문에 연기를 그리며 대본에 적었을 감독의 주석이 궁금하다.이 영화는 클래식 음악 영화도 아니고 클래식 업계의 지휘자 이야기도 아닌 그냥 모두가 가진 모순과 치유의 이야기를 타르라는 인물로 대변하여 관객에게 말한다. 우리는 타르를 비난할 만큼 자신을 비워내고 하나가 됐는가. 신의 개입과 영혼 치유를 주장하는 불완전한 인간이 동일한 인간에 대해 판단하는 모순을 말하는 지극히 현실적인 스크린 밖의 너와 나에 대해 말하는 영화라고 생각한다.,10
앤트맨과 와스프: 퀀텀매니아,마블 마블 마블...이젠 정말 가나?,5
타짜: 원 아이드 잭,와 최유화 연기;; 표정 모두 몰입방해나오는 영화마다 민폐인듯 데뷔 영화인줄 알았어요,8
스즈메의 문단속,호불호갈리긴해요 4명이서 보고2명이 좋아했어요 전 너무 재밌었어요..,10
플레인,뻔하지만 뻔해서 좋은 영화,7
샤잠! 신들의 분노,핵노잼 샤잠온다..ZZZ,1
대외비,아쉬움이 있지만 그래도 연기가 모두 훌륭해서 추천,8
압꾸정,와...결말뭐냐..원작 말아먹은 한국드라마같네,2
스즈메의 문단속,개연성이 아쉽다는 사람들이 많은데 유튜브로 설명 한번만 보면 모든 퍼즐이 짜 맞춰지는걸 알 수 있습니다. 상당히 재미있으니까 고민 말고 보세요!,10
스즈메의 문단속,재미있다기엔 아쉽지만 애니 팬들은 그림만으로도 즐거울듯,6
아임 히어로 더 파이널,"생생한 영상미, 탄탄한구성, 마음을 울리는 감동과 가창력이 돋보이는 영화입니다.",10
소울메이트,풋풋한 청춘의 아름답고 아린 이야기   뻔하지만 볼 만함,7
다만 악에서 구하소서,황정민은 칼에 수차례 찔려도 죽지를 않고 전력질주로 차를 따라잡고... 트렌스젠더는 쌩판 본적도 없는 애 구한다고 갱단에 들어가질않나... 수류탄 파편은 애가 갇혀있던 트렁크 가방도 뚫지를 못하네.. 중국산인가 . 시간아깝다,2
아마겟돈 타임,영화가 백인 소년 시점이라 와닿지 않는다,6
라붐,지나고 보면 그냥 웃음만 짓게 되는 꿈결 같은 이야기,8
극장판 검정고무신 : 즐거운 나의 집,진짜화나고 슬프다. 이거 만든 제작사 당신들도 검정고무신에 추억이 있었을 거 아니냐. 그런 추억을 준 원작자의 인생을 파괴하면서까지 추악하게 돈을 벌고싶었냐. 그 결과 검정고무신을 사랑하던 많은 이들의 추억마저 얼룩지게 되었다.,1
압꾸정,처음리뷰해봄. 그냥 한국 코믹 영화 시시해도 그러려니 하는데. 이건 최악중에 악이다. 이렇게 만들고도 개봉을 할수가 있구나. 대단하다 진짜,1
스즈메의 문단속,누드씬 있음 강추. 누드씬 있음 강추.   누드씬 있음 강추.   누드씬 있음 강추.   ,10
소울메이트,"1998년, 처음 만났다. 2004년, 첫사랑이 생겼다. 2010년, 각자 어른이 되어간다. 2014년, 흔적을 따라간다.",10
대외비,죄송해요... 근데 너무 뻔하고 쓸데없이 폭력적인 영화였습니다.,1
똑똑똑,탁월한 연출력이 있지만 알맹이가 없는...?,6
샤잠! 신들의 분노,"돈 많이 처바른 파워레인저라고 생각하면 편하다. 정신연령을 한껏 낮춘 채 보면 청소년 드라마스런 가벼운 유머들이 나름의 즐거움을 주는 영화다. 마블의 &amp;#39;닥터스트레인저&amp;#39;에서나 볼 법한 공간 조작, 해체, 재배열 장면들의 CG가 상당히 멋졌고 나무비늘로 뒤덮인 드래곤도 꽤나 위압감을 주었다. 온갖 잡귀들의 모습들도 그럴싸했고. 게다가 4DX와 SCREENX의 효과에 상당히 공을 들여 놓아서 4DXSCREEN관에서의 즐길거리도 대단했다. 예전 원더우먼2 때도 그렇고 DC 영화들이 SCREENX와의 궁합이 상당히 좋은 것 같다. 짜투리 영상을 남들보다 협조적으로 제공하는지 뒷사정은 모르겠지만.",7
소울메이트,이런 친구 한 명 사귀고싶다.,10
더 메뉴,남는 건 치즈버거다,6
앤트맨과 와스프: 퀀텀매니아,재밌게봤지만 아쉬운부분도 커요,10
소울메이트,두 주인공과 인생을 같이 살아가는 느낌이였어요..연기가 너무 좋아서 감정이입도 잘됐고 무엇보다 두 친구의 뗄래아 뗄수없는 아름다운 사이가 너무 좋으면서 불안했어요…후반으로 갈수록 정말 마음이 너무 먹먹하더라구요…,10
대외비,흥미진진하면서 스릴넘치는 영화,10
샤잠! 신들의 분노,이제 마블이고 DC고 &amp;#39;히어로&amp;#39;장르 영화의 유행은 끝난 것 같다.,3
스즈메의 문단속,영상미와 판타지는 아름답다,7
TAR 타르,케이트 블란쳇의 연기 말고는 영화가 평범했다,6
에브리씽 에브리웨어 올 앳 원스+,"최근 본 영화 중, 아니 지금껏 본 영화 중에서도 손꼽힐 만큼 재미있게 봤어요ㅠㅠ 저도 다른 부분보다 돌멩이 나올 때 울었는데 다른 분 감상평 보니 같은 사람이 있네요. 갑자기 모든 사운드가 사라지고 글을 읽는데 눈물이 흐르더라구요.. 완성도 높은 작품인 것 같아요",9
타이타닉,봐도봐도 재밌고 긴 영화임에도 시간가는 줄 모르고 보게 된다 여러 감정이 교차되는 명작,10
에브리씽 에브리웨어 올 앳 원스+,영화관에서 두 번 봤어요..!!,10
소울메이트,김다미와 전소니의 연기케미가 탄탄하다,8
이마 베프,장만옥이 남았다 그거면 됐다,6
스즈메의 문단속,애니지만 진짜 잘 만듦,9
스즈메의 문단속,개연성이 많이 아쉬웠다,6
스즈메의 문단속,호불호 많이 갈린다 해서 걱정했는데 작화는 물론이고 OST가 개쩔어요 영화보면서 이렇게까지 울어본 적은 처음입니다... 개인적으로 너의 이름은만큼 좋았어요!영화관에서 무조건 보시길 추천합니다.저는 4dX나오면 한번 더 보려고 합니다!,10
올빼미,제목 정말 잘 지었다 특정장면 연출이 기억에 남는다,7
맨 오브 오너,나쁘지않음. 재미씀. 재밋다기 보다는 아마 무기력한 인간들이 보면 작게나마 변했으연 하는 진실한  무비..흑형남주의 엄청난 집중력. ,8
금의위: 14검의 비밀,코미디 영화쥬?ㅋㅋㅋㅋ웃겨서 6점!!,6
이니셰린의 밴시,이상한 사람들의 이상한 우정.,7
압꾸정,진짜 이런 역대급 쓰레기영화는 처음본다 영화라고 표현하기도 아깝다 그냥 개쓰레기다 진짜 와 정경호 갠적으로 팬인데 작품고르는 수준이 이렇게 낮다니 뇌가 있다면 이런건 안골라야지 ..,1
스즈메의 문단속,추임새가 너무 많음대화보다 추임새가 더 많은듯,4
아바타: 물의 길,ost랑 스토리 아쉽다.. 3를 위한 발판이라 생각하면 넘길 수 있는 아쉬움.. 영상미는 명불허전 극장에서 봐야한다,8
스즈메의 문단속,영상미는 전작에서 지속적으로 보여줬던대로 정말 끝내주게 아름다웠습니다. 다만 너의 이름은을 10번 가까이 봤던 사람으로써ㅜ 이번건 많이 실망이네요...ㅜ 전반적으로 너의 이름은을 그대로 갖다붙인듯한 연출...띠용스러운 개연성... 너의 이름은이 너무 히트쳐서 그걸 넘어서는 상상력은 없었던걸까 싶었음ㅠ ,4
카피캣,"나름 긴장감은 유지하고 있지만, 영화의 제목처럼 훨씬 더 잘 만든 스릴러의 모방 영화처럼 보인다.",5
